type,code,status,plate,sector_id
mid,E-35-PAP2-76,1,not,4
mid,E-35-PAP2-77,1,not,4
mid,E-35-PAP2-78,1,not,4
mid,E-35-PAP2-79,1,not,4
mid,E-35-PAP2-80,1,not,4
mid,E-35-PAP2-81,1,not,4
mid,E-35-PAP2-82,1,not,4
mid,E-35-PAP2-83,1,not,4
mid,E-35-PAP2-84,1,not,4
mid,E-35-PAP2-85,1,not,4
mid,E-35-PAP2-86,1,not,4
mid,E-35-PAP2-87,1,not,4
mid,E-35-PAP2-88,1,not,4
mid,E-35-PAP2-89,1,not,4
mid,E-35-PAP2-90,1,not,4
mid,E-35-PAP2-91,1,not,4
mid,E-35-PAP2-92,1,not,4
mid,E-35-PAP2-93,1,not,4
mid,E-35-PAP2-94,1,not,4
mid,E-35-PAP2-95,1,not,4
mid,E-35-PAP2-96,1,not,4
mid,E-35-PAP2-97,1,not,4
mid,E-35-PAP2-98,1,not,4
mid,E-35-PAP2-99,1,not,4
mid,E-35-PAP2-100,1,not,4
mid,E-35-PAP2-101,1,not,4
mid,E-35-PAP2-102,1,not,4
mid,E-35-PAP2-103,1,not,4
mid,E-35-PAP2-104,1,not,4
mid,E-35-PAP2-105,1,not,4
mid,E-35-PAP2-106,1,not,4
mid,E-35-PAP2-107,1,not,4
mid,E-35-PAP2-108,1,not,4
mid,E-35-PAP2-109,1,not,4
mid,E-35-PAP2-110,1,not,4
mid,E-35-PAP2-111,1,not,4
mid,E-35-PAP2-112,1,not,4
mid,E-35-PAP2-113,1,not,4
mid,E-35-PAP2-114,1,not,4
mid,E-35-PAP2-115,1,not,4
mid,E-35-PAP2-116,1,not,4
mid,E-35-PAP2-117,1,not,4
mid,E-35-PAP2-118,1,not,4
mid,E-35-PAP2-119,1,not,4
mid,E-35-PAP2-120,1,not,4
mid,E-35-PAP2-121,1,not,4
mid,E-35-PAP2-122,1,not,4
mid,E-35-PAP2-123,1,not,4
mid,E-35-PAP2-124,1,not,4
mid,E-35-PAP2-125,1,not,4
mid,E-35-PAP2-126,1,not,4
mid,E-35-PAP2-127,1,not,4
mid,E-35-PAP2-128,1,not,4
mid,E-35-PAP2-129,1,not,4
